,Epsilon,Accuracy,F1,Accuracy Std,F1 Std
0,0.01,0.5,0.54,0.051,0.094
1,0.1,0.5,0.55,0.083,0.077
2,1,0.5,0.609,0.061,0.086
3,10,0.552,0.61,0.076,0.064
4,100,0.656,0.678,0.063,0.081
5,1000,0.69,0.71,0.047,0.081
6,10000,0.689,0.715,0.067,0.021
