,Epsilon,Total Client Rules,Found Rules,Non Rules,Precision,Coverage,Queries
0,0.01,266,3.333333333,0,0.72111,0.00065188,3422
1,0.1,266,2,0,0.75,0.001253133,3414.666667
2,1,266,1.666666667,0,0.92333,0.007265664,3421.333333
3,10,266,2.333333333,0,1,0.0877193,3419.666667
4,100,266,2.666666667,0,1,0.251002506,3419
5,1000,266,4.333333333,0,1,0.56290727,3417.666667
6,10000,266,232,0,1,0.612180451,3345
