,Method,UTC Wtg,Cp,Found Rules,# Unique
144,max,scaledBy100,1.0,250,24
145,max,scaledBy100,0.7071067811865475,171,40
146,max,scaledBy100,2.0,290,27
147,max,scaledBy100,10.0,350,17
148,max,scaledBy10,1.0,186,42
149,max,scaledBy10,0.7071067811865475,171,39
150,max,scaledBy10,2.0,103,46
151,max,scaledBy10,10.0,284,23
152,max,scoreX10,1.0,1022,18
153,max,scoreX10,0.7071067811865475,1097,18
154,max,scoreX10,2.0,788,27
155,max,scoreX10,10.0,202,39
156,max,scoreX100,1.0,1046,27
157,max,scoreX100,0.7071067811865475,1364,18
158,max,scoreX100,2.0,1122,18
159,max,scoreX100,10.0,1321,18
