,Method,Queries,Epsilon,Total Client Rules,Percentage Found Rules,Found Rules,Non Rules,Rule Precision,Total Client Structures,Percentage Found Structures,Found Structures,Non Structures,Structure Precision
45,eps_Prunebasic,1000,1.0,553,0.039783001808318265,22,50,0.3055555555555556,43,0.18604651162790697,8,0,1.0
46,eps_Prunebasic,1000,0.1,553,0.003616636528028933,2,9,0.18181818181818182,43,0.2558139534883721,11,0,1.0
47,eps_Prunebasic,1000,0.01,553,0.0054249547920434,3,8,0.2727272727272727,43,0.32558139534883723,14,0,1.0
48,eps_Prunebasic,1000,0.001,553,0.0379746835443038,21,28,0.42857142857142855,43,0.13953488372093023,6,0,1.0
49,eps_Pruneone,1000,1000.0,553,0.0433996383363472,24,16,0.6,43,0.32558139534883723,14,0,1.0
50,eps_Pruneone,1000,100.0,553,0.023508137432188065,13,22,0.37142857142857144,43,0.18604651162790697,8,0,1.0
51,eps_Pruneone,1000,10.0,553,0.027124773960216998,15,22,0.40540540540540543,43,0.32558139534883723,14,3,0.8235294117647058
52,eps_Pruneone,1000,1.0,553,0.03074141048824593,17,27,0.38636363636363635,43,0.3023255813953488,13,0,1.0
53,eps_Pruneone,1000,0.1,553,0.003616636528028933,2,13,0.13333333333333333,43,0.20930232558139536,9,0,1.0
54,eps_Pruneone,1000,0.01,553,0.012658227848101266,7,9,0.4375,43,0.2558139534883721,11,0,1.0
55,eps_Pruneone,1000,0.001,553,0.0108499095840868,6,32,0.15789473684210525,43,0.3488372093023256,15,0,1.0
56,eps_Prunesmall,1000,1000.0,553,0.027124773960216998,15,14,0.5172413793103449,43,0.32558139534883723,14,0,1.0
57,eps_Prunesmall,1000,100.0,553,0.0018083182640144665,1,8,0.1111111111111111,43,0.27906976744186046,12,0,1.0
58,eps_Prunesmall,1000,10.0,553,0.0325497287522604,18,25,0.4186046511627907,43,0.18604651162790697,8,2,0.8
59,eps_Prunesmall,1000,1.0,553,0.03616636528028933,20,43,0.31746031746031744,43,0.18604651162790697,8,0,1.0
60,eps_Prunesmall,1000,0.1,553,0.0054249547920434,3,4,0.42857142857142855,43,0.23255813953488372,10,0,1.0
61,eps_Prunesmall,1000,0.01,553,0.007233273056057866,4,14,0.2222222222222222,43,0.32558139534883723,14,0,1.0
62,eps_Prunesmall,1000,0.001,553,0.009041591320072333,5,12,0.29411764705882354,43,0.2558139534883721,11,0,1.0
