,Epsilon,Total Client Rules,Found Rules,Non Rules,Precision,Coverage,Queries
0,0.01,880,11,0,0.77,0.0125,3073
1,0.1,880,10.33333333,0,0.82,0.011742424,3073
2,1,880,10.66666667,0,0.9,0.012121212,3073
3,10,880,11.33333333,0,0.9,0.012878788,3073
4,100,880,9,0,0.95,0.010227273,3073
5,1000,880,13.33333333,0,1,0.315151515,3073
6,10000,880,200.3333333,0,1,0.427651515,3085
